1,ティラ,ヒートブレス,火の力
2,ティラン,ヒートブレス,火の力
3,ティラノス,マグマブレス,火の力
4,爆炎龍ティラノス,マグマブレス,爆炎の力
5,プレシィ,コールドブレス,水の力
6,プレシィール,コールドブレス,水の力
7,プレシオス,ブリザードブレス,水の力
8,氷塊龍プレシオス,ブリザードブレス,激流の力
9,ブラッキィ,ウィンドブレス,木の力
10,ブラッキオ,ウィンドブレス,木の力
11,ブラキオス,ガイアブレス,木の力
12,大花龍ブラキオス,ガイアブレス,大地の力
13,プテーラ,フラッシュブレス,光の力
14,プテラス,フラッシュブレス,光の力
15,プテラドス,ホーリーブレス,光の力
16,太陽龍プテラドス,ホーリーブレス,閃光の力
17,スピノン,ダークブレス,闇の力
18,スピナス,ダークブレス,闇の力
19,デスピナス,ヘルブレス,闇の力
20,月光龍デスピナス,ヘルブレス,暗黒の力
21,レッドコドラ,ヒートボール,無し
22,レッドドラゴン,ヒートボール,火の守り
23,ボルケーノドラゴン,ファイアボール,火の守り
24,ブルーコドラ,コールドボール,無し
25,ブルードラゴン,コールドボール,水の守り
26,オーロラドラゴン,アイスボール,水の守り
27,グリーンコドラ,ウィンドボール,無し
28,グリーンドラゴン,ウィンドボール,木の守り
29,アースドラゴン,アースボール,木の守り
30,ホワイトコドラ,フラッシュボール,無し
31,ホワイトドラゴン,フラッシュボール,光の守り
32,ホーリードラゴン,サンダーボール,光の守り
33,ブラックコドラ,ダークボール,無し
34,ブラックドラゴン,ダークボール,闇の守り
35,デビルドラゴン,カオスボール,闇の守り
36,ホノりん,無し,無し
37,デカホノりん,攻撃態勢・火,無し
38,アワりん,無し,無し
39,デカアワりん,防御態勢・水,無し
40,モリりん,無し,無し
41,デカモリりん,ドロップリフレッシュ,無し
42,ヒカりん,無し,無し
43,デカヒカりん,防御態勢・光,無し
44,ワルりん,無し,無し
45,デカワルりん,攻撃態勢・闇,無し
46,レッドカーバンクル,癒しの光,無し
47,ルビーカーバンクル,回復の光,無し
48,ブルーカーバンクル,癒しの光,無し
49,サファイアカーバンクル,回復の光,無し
50,グリーンカーバンクル,癒しの光,無し
51,エメラルドカーバンクル,回復の光,無し
52,イエローカーバンクル,癒しの光,無し
53,トパーズカーバンクル,回復の光,無し
54,パープルカーバンクル,癒しの光,無し
55,アメジストカーバンクル,回復の光,無し
56,レッドゴブリン,無し,無し
57,武者ゴブリン,攻撃態勢・火,無し
58,ブルーゴブリン,無し,無し
59,マリンゴブリン,防御態勢・水,無し
60,ゴブリン,無し,無し
61,ホブゴブリン,ドロップリフレッシュ,無し
62,レッドオーガ,無し,根性
63,サムライオーガ,ダブルドロップ変化・火木,根性
64,ブルーオーガ,無し,根性
65,アイスオーガ,ダブルドロップ変化・水火,根性
66,オーガ,無し,根性
67,アーマーオーガ,ダブルドロップ変化・木水,根性
68,フレイムファイター,ガードブレイク,無し
69,フレイムナイト,ガードブレイク,無し
70,アクアファイター,ガードブレイク,無し
71,アクアナイト,ガードブレイク,無し
72,アースファイター,ガードブレイク,無し
73,アースナイト,ガードブレイク,無し
74,ホワイトファイター,ガードブレイク,無し
75,ホワイトナイト,ガードブレイク,無し
76,ブラックファイター,ガードブレイク,無し
77,ブラックナイト,ガードブレイク,無し
78,フレイムゴーレム,防御の構え,守りの心得
79,フレイムガーディアン,防御の構え,守りの心得
80,アイスゴーレム,防御の構え,守りの心得
81,アイスガーディアン,防御の構え,守りの心得
82,アースゴーレム,防御の構え,守りの心得
83,アースガーディアン,防御の構え,守りの心得
84,マシンゴーレム,アーマーブレイク,守りの心得
85,マシンゴーレムMk-II,アーマーブレイク,守りの心得
86,ダークゴーレム,アーマーブレイク,守りの心得
87,ダークゴーレムMk-II,アーマーブレイク,守りの心得
88,ナーガ,威嚇,業火
89,エキドナ,威嚇,業火
90,マーメイド,防御態勢・水,癒しの唄
91,セイレーン,防御態勢・水,癒しの唄
92,ドリヤード,キュアー,癒しの祈り
93,アルラウネ,キュアー,癒しの祈り
94,キューピッド,ヒール,癒しの唄
95,エンジェル,ヒール,癒しの唄
96,サキュバス,毒の霧,クイック
97,リリス,毒の霧,クイック
98,炎の魔剣士,ドロップ変化・火,火の守り
99,フェニックスナイト,ドロップ変化・火,火の守り
100,氷の魔剣士,ドロップ変化・水,水の守り
101,フェンリルナイト,ドロップ変化・水,水の守り
102,岩の魔剣士,ドロップ変化・木,木の守り
103,ドラゴンナイト,ドロップ変化・木,木の守り
104,光の魔剣士,ドロップ変化・光,光の守り
105,ヴァーチェ,ドロップ変化・光,光の守り
106,タイタン,攻撃態勢・火,根性
107,ギガンテス,攻撃態勢・火,根性
108,闇の魔剣士,ドロップ変化・闇,闇の守り
109,ダークドラゴンナイト,ドロップ変化・闇,闇の守り
110,ヴァンパイア,攻撃態勢・闇,無し
111,ヴァンパイアロード,攻撃態勢・闇,暗黒の力
112,サラマンダー,マグマブレス,火の力
113,イフリート,マグマブレス,爆炎の力
114,シーサーペント,ブリザードブレス,水の力
115,リヴァイアサン,ブリザードブレス,激流の力
116,ドラゴネット,ガイアブレス,木の力
117,ファフニール,ガイアブレス,大地の力
118,白龍,ホーリーブレス,光の力
119,神龍,ホーリーブレス,閃光の力
120,バジリスク,ヘルブレス,闇の力
121,ティアマット,ヘルブレス,暗黒の力
122,ミネルヴァ,クイックボム,炎の防壁
123,戦女神・ミネルヴァ,クイックボム,炎の防壁
124,ネプチューン,ヒュドラの毒,氷の防壁
125,海王神・ネプチューン,ヒュドラの毒,氷の防壁
126,セレス,完治の光,大樹の防壁
127,豊穣神・セレス,完治の光,大樹の防壁
128,ヴィーナス,チェンジ・ザ・ワールド,光の防壁
129,慈愛神・ヴィーナス,チェンジ・ザ・ワールド,光の防壁
130,ハーデス,ギガグラビティ,闇の防壁
131,冥界神・ハーデス,ギガグラビティ,闇の防壁
132,カグツチ,バーストボム,煉獄
133,ヒノカグツチ,バーストボム,神の業火
134,オロチ,威圧,ド根性
135,ヤマタノオロチ,威圧,ド根性
136,スサノオ,鉄壁の構え,鉄壁の心得
137,スサノオノミコト,鉄壁の構え,鉄壁の心得
138,アマテラス,完治の光,癒しの唄
139,アマテラスオオカミ,完治の光,神の奇跡
140,ヨミ,チェンジ・ザ・ワールド,クイックブースト
141,ツクヨミ,チェンジ・ザ・ワールド,神の一手
142,炎龍・ムスプルヘイム,マグマブレス,炎の防壁
143,氷龍・ニブルヘイム,ブリザードブレス,氷の防壁
144,島龍・ユグドラシル,ガイアブレス,大樹の防壁
145,機龍・ヴァルハラ,ホーリーブレス,光の防壁
146,邪龍・ヘルヘイム,ヘルブレス,闇の防壁
147,炎の番人,防御の構え,守りの心得
148,水の番人,防御の構え,守りの心得
149,森の番人,防御の構え,守りの心得
150,光の番人,防御の構え,守りの心得
151,闇の番人,防御の構え,守りの心得
152,ドラゴンシード,無し,無し
153,ドラゴンプラント,無し,無し
154,ドラゴンフラワー,スターウェイク・ランド,無し
155,ルビリット,無し,無し
156,サファリット,無し,無し
157,エメリット,無し,無し
158,トパリット,無し,無し
159,アメリット,無し,無し
160,ミスリット,オールドロップスマイル,無し
161,進化の赤仮面,時空調律陣・火水,無し
162,進化の青仮面,ウォータリングジェイル,無し
163,進化の緑仮面,時空調律陣・木火,無し
164,進化の黄仮面,五色の秘術,無し
165,進化の紫仮面,転界逢龍舞・紫空,無し
166,朱色の鬼神面,レイジングシフト,無し
167,蒼色の鬼神面,あまねく光る遊星,無し
168,碧色の鬼神面,トライフェイス,無し
169,黄金の鬼神面,スパークリングリップス,無し
170,紫色の鬼神面,デストロイソング,無し
171,神化の紅面,降り立つ狂気,無し
172,神化の蒼面,マッドネスボイス,無し
173,神化の碧面,ハリケーンシャウト,無し
174,神化の金面,おおしく滾る遊星,無し
175,神化の黒面,震天の咆哮,無し
176,メタルドラゴン,無し,モンスター経験値アップ
177,ハイメタルドラゴン,ダブル防御態勢・闇,モンスター経験値アップ
178,キングメタルドラゴン,龍撃態勢・闇,モンスター経験値アップ
179,ゴールドドラゴン,無し,モンスター経験値アップ
180,ハイゴールドドラゴン,ダブル防御態勢・光,モンスター経験値アップ
181,キングゴールドドラゴン,龍撃態勢・光,モンスター経験値アップ
182,ポリン,アーマーブレイク,炎の防壁
183,マーリン,攻撃態勢・水,氷の防壁
184,ポポリン,攻撃態勢・木,大樹の防壁
185,ドロップス,攻撃態勢・光,光の防壁
186,ゴーストリング,毒の霧,闇の防壁
187,ゼウス,ラース・オブ・ゴッド,パワー・オブ・ゼウス
188,覚醒ゼウス,ラース・オブ・ゴッド,パワー・オブ・ゼウス
189,ヘラ,ギガグラビティ,クイックブースト
190,覚醒ヘラ,ギガグラビティ,神の一手
191,パイロデビル,ボム,無し
192,パイロデーモン,ボム,無し
193,フロストデビル,ボム,無し
194,フロストデーモン,ボム,無し
195,タウロスデビル,ボム,無し
196,タウロスデーモン,ボム,無し
197,ハーピィデビル,ボム,無し
198,ハーピィデーモン,ボム,無し
199,ブラッドデビル,ボム,無し
200,ブラッドデーモン,ボム,無し
201,紅蓮の女帝・エキドナ,威嚇,煉獄
202,大海の歌姫・セイレーン,防御態勢・水,癒しの舞
203,大樹の精霊・アルラウネ,キュアー,癒しの舞
204,天空の使徒・エンジェル,ヒール,癒しの舞
205,常夜の魔女・リリス,毒の霧,クイックブースト
206,マーズライトカーバンクル,大回復の光,癒しの祈り
207,マーキュライトカーバンクル,大回復の光,癒しの祈り
208,アースライトカーバンクル,大回復の光,癒しの祈り
209,サンライトカーバンクル,大回復の光,癒しの祈り
210,ムーンライトカーバンクル,大回復の光,癒しの祈り
211,メテオボルケーノドラゴン,マグマボール,炎の防壁
212,クリスタルオーロラドラゴン,ブリザードボール,氷の防壁
213,グラビトンアースドラゴン,ガイアボール,大樹の防壁
214,ライトニングホーリードラゴン,ホーリーボール,光の防壁
215,カオスデビルドラゴン,ヘルボール,闇の防壁
216,緋天龍・エルドラド,フレイムブレス,爆炎の力
217,蒼天龍・ニライカナイ,スプラッシュブレス,激流の力
218,樹天龍・ホウライ,ロックブレス,大地の力
219,聖天龍・シャングリラ,プラズマブレス,閃光の力
220,夜天龍・エリュシオン,カースブレス,暗黒の力
221,ベルセルク,攻撃態勢・水,狂戦士の怒り
222,蒼剣の覇王・ジークフリート,攻撃態勢・水,ドラゴンブラッド
